api_id,method,endpoint,actor,auth_rule,request_dto,response_dto,controller_action,service_method,state_effect,related_tables,external_integration,notes
COMMON-SITEMAP-PAGE,GET,/sitemap,USER,PUBLIC,None,Thymeleaf sitemap view,SiteMapPageController.sitemap,SiteMapService.getUserSiteMap,READ_ONLY_MENU_TREE,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",N,HMENU1 메뉴 트리와 공개 로그인·회원가입·회원사 가입 플로우를 읽어 사용자 사이트맵 HTML 렌더링
COMMON-SITEMAP-PAGE-EN,GET,/en/sitemap,USER,PUBLIC,None,Thymeleaf sitemap view,SiteMapPageController.sitemapEn,SiteMapService.getUserSiteMap,READ_ONLY_MENU_TREE,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",N,영문 사용자 사이트맵 HTML 렌더링
ADMIN-SITEMAP-PAGE,GET,/admin/content/sitemap,ADMIN,ADMIN_SESSION,None,Thymeleaf sitemap view,AdminSiteMapController.sitemap,SiteMapService.getAdminSiteMap,READ_ONLY_MENU_TREE_WITH_PERMISSION,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,현재 관리자 VIEW 권한으로 접근 가능한 관리자 사이트맵 HTML 렌더링
ADMIN-SITEMAP-PAGE-EN,GET,/en/admin/content/sitemap,ADMIN,ADMIN_SESSION,None,Thymeleaf sitemap view,AdminSiteMapController.sitemapEn,SiteMapService.getAdminSiteMap,READ_ONLY_MENU_TREE_WITH_PERMISSION,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 사이트맵 HTML 렌더링
FRONTEND-TELEMETRY-INGEST,POST,/api/telemetry/events,USER_OR_ADMIN,SESSION_OR_CSRF,FrontendTelemetryBatchRequest,"{ success, acceptedCount }",TelemetryController.ingestEvents,TraceEventService.recordFrontendEvents,INSERT_TRACE_EVENTS,TRACE_EVENT,N,프런트 page_view/ui_action/function/api 응답 이벤트를 배치 적재
ADMIN-HELP-MANAGEMENT-PAGE,GET,/api/admin/help-management/page,ADMIN,A1900101_VIEW,pageId,HelpManagementPagePayload,AdminHelpManagementController.getHelpPage,HelpContentService.getPageHelpForAdmin,READ_ONLY,"UI_HELP_PAGE, UI_HELP_ITEM",N,도움말 메타데이터와 단계 목록 조회
ADMIN-HELP-MANAGEMENT-SAVE,POST,/api/admin/help-management/save,ADMIN,A1900101_EDIT,HelpManagementSaveRequest,"{ success, pageId, message }",AdminHelpManagementController.saveHelpPage,HelpContentService.savePageHelp,UPSERT_HELP_CONTENT,"UI_HELP_PAGE, UI_HELP_ITEM, AUDIT_EVENT",N,도움말 저장 후 감사 로그 기록
ADMIN-SCREEN-COMMAND-PAGE,GET,/api/admin/help-management/screen-command/page,ADMIN,A1900101_VIEW,pageId,ScreenCommandPagePayload,AdminHelpManagementController.getScreenCommandPage,ScreenCommandCenterService.getScreenCommandPage,READ_ONLY_METADATA,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,선택한 화면 기준 요소-이벤트-API-권한-스키마 연결 메타데이터 조회
ADMIN-SR-WORKBENCH-PAGE,GET,/api/admin/sr-workbench/page,ADMIN,A1900102_VIEW,pageId,SrWorkbenchPagePayload,AdminSrWorkbenchController.getPage,SrTicketWorkbenchService.getPage,READ_ONLY_METADATA,"SR_TICKET_JSONL, COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,워크벤치 화면 데이터와 최근 SR 티켓 조회
ADMIN-SR-TICKET-CREATE,POST,/api/admin/sr-workbench/tickets,ADMIN,A1900102_CREATE,SrTicketCreateRequest,"{ success, message, ticket }",AdminSrWorkbenchController.createTicket,SrTicketWorkbenchService.createTicket,CREATE_SR_TICKET,SR_TICKET_JSONL,N,화면 메타데이터 기반 SR 티켓 발행
ADMIN-SR-TICKET-APPROVE,POST,/api/admin/sr-workbench/tickets/{ticketId}/approve,ADMIN,A1900102_APPROVE,SrTicketApprovalRequest,"{ success, message, ticket }",AdminSrWorkbenchController.approveTicket,SrTicketWorkbenchService.updateApproval,UPDATE_SR_APPROVAL,SR_TICKET_JSONL,N,SR 승인 또는 반려 처리
ADMIN-SR-TICKET-PREPARE-EXECUTION,POST,/api/admin/sr-workbench/tickets/{ticketId}/prepare-execution,ADMIN,A1900102_PREPARE,None,"{ success, message, ticket }",AdminSrWorkbenchController.prepareExecution,SrTicketWorkbenchService.prepareExecution,MARK_READY_FOR_CODEX,SR_TICKET_JSONL,N,승인된 티켓을 Codex 실행 준비 상태로 전환
ADMIN-SR-TICKET-EXECUTE,POST,/api/admin/sr-workbench/tickets/{ticketId}/execute,ADMIN,A1900102_EXECUTE,None,"{ success, message, ticket }",AdminSrWorkbenchController.executeTicket,SrTicketWorkbenchService.executeTicket,RUN_APPROVED_CODEX_TICKET,"SR_TICKET_JSONL, SR_CODEX_RUNNER_HISTORY_JSONL",N,승인 후 READY_FOR_CODEX 상태 티켓을 worktree 격리와 allowlist 검증 하에 Codex runner로 실행
ADMIN-CODEX-REQUEST-PAGE,GET,/admin/system/codex-request/page-data,ADMIN,ADMIN_SESSION,None,CodexProvisionPagePayload,CodexProvisionPageController.codexProvisionPageData,Model-only page data,READ_ONLY,"COMTCCMMNDETAILCODE, COMTNMENUINFO",N,Codex 요청 화면 초기 샘플 payload와 locale 상태를 반환
ADMIN-CODEX-REQUEST-LOGIN,POST,/admin/system/codex-request/login,ADMIN,ADMIN_SESSION + security.codex.enabled,None,"{ status, mode }",CodexProvisionAdminController.login,Internal availability check,READ_ONLY,None,N,브라우저에 API 키를 노출하지 않고 내부 Codex 사용 가능 여부만 확인
ADMIN-CODEX-REQUEST-EXECUTE,POST,/admin/system/codex-request/execute,ADMIN,ADMIN_SESSION + security.codex.enabled,CodexProvisionRequest,CodexProvisionResponse,CodexProvisionAdminController.execute,CodexExecutionAdminService.execute,UPSERT_MENU_AND_LOG,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE, CODEX_HISTORY_JSONL",N,관리자 세션 컨텍스트를 적용해 Codex 등록 요청을 실행하고 이력 적재
ADMIN-CODEX-REQUEST-HISTORY,GET,/admin/system/codex-request/history,ADMIN,ADMIN_SESSION + security.codex.enabled,None,CodexExecutionHistoryResponse,CodexProvisionAdminController.history,CodexExecutionAdminService.getRecentHistory,READ_HISTORY,CODEX_HISTORY_JSONL,N,최근 Codex 실행 이력과 점검 결과 목록 조회
ADMIN-CODEX-REQUEST-INSPECT,POST,/admin/system/codex-request/history/{logId}/inspect,ADMIN,ADMIN_SESSION + security.codex.enabled,None,CodexExecutionHistoryRow,CodexProvisionAdminController.inspect,CodexExecutionAdminService.inspect,INSPECT_HISTORY,CODEX_HISTORY_JSONL,N,선택한 실행 이력의 회사/메뉴/기능/공통코드 매핑 상태를 재점검
ADMIN-CODEX-REQUEST-REMEDIATE,POST,/admin/system/codex-request/history/{logId}/remediate,ADMIN,ADMIN_SESSION + security.codex.enabled,None,CodexProvisionResponse,CodexProvisionAdminController.remediate,CodexExecutionAdminService.remediate,REPLAY_REQUEST,CODEX_HISTORY_JSONL,N,저장된 요청 JSON으로 Codex 등록을 재실행
ADMIN-FULL-STACK-MANAGEMENT-PAGE,GET,/admin/system/full-stack-management/page-data,ADMIN,A0060108_VIEW,None,MenuManagementPagePayload,AdminSystemCodeController.fullStackManagementPageApi,AdminSystemCodeController.populateMenuManagementModel,READ_ONLY_METADATA,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO",N,메뉴 트리와 풀스택 관리 기본 payload를 조회
